t|Main,Q_BESS1|BESS_1,V_BESS1|BESS_1,freq_BESS_1|BESS_1,Vrms_BESS_1|BESS_1,P_BESS1|BESS_1
11.799,-0.052814497,1.007630122,59.55231402,1.006653986,6.903115371
11.8,-0.033653949,1.007361582,59.55497708,1.006587724,6.971172406
11.801,-0.01103281,1.007532069,59.55730549,1.005174521,6.931070704
11.802,-0.115351892,1.007562169,59.56215707,1.006934417,6.933154038
11.803,-0.036125074,1.007311505,59.56639898,1.005849459,6.995084467
11.804,-0.03543194,1.007599044,59.56003739,1.00543149,6.92610918
11.805,-0.117039475,1.007478048,59.55447522,1.007097657,6.943897611
11.806,-0.066764436,1.007318768,59.54470638,1.005190144,6.990583324
11.807,-0.127709378,1.00758675,59.53616512,1.005749461,6.931421772
11.808,-0.171439492,1.007393396,59.52869719,1.007112869,6.994901277
11.809,-0.061811626,1.007306155,59.52216771,1.004821222,7.016588957
11.81,-0.147100529,1.007491405,59.53038524,1.006029934,6.952420162
11.811,-0.14808714,1.007238117,59.53757011,1.006859787,7.016417923
11.812,-0.085806833,1.007255219,59.54385211,1.004771315,6.999933367
11.813,-0.177995666,1.007367295,59.54115026,1.006374452,6.964990339
11.814,-0.127002546,1.007086613,59.53878793,1.006318699,7.028210983
11.815,-0.069914168,1.007314374,59.52913053,1.00483444,6.974108495
11.816,-0.172915226,1.007306774,59.52068671,1.006666451,6.949308784
11.817,-0.126685428,1.007058267,59.51330398,1.005482895,7.001276659
11.818,-0.1477241,1.007376245,59.50684899,1.005111127,6.928747002
11.819,-0.235514994,1.007295875,59.50774946,1.006827539,6.954553024
11.82,-0.140097209,1.007105456,59.50853678,1.0048702,6.990890079
11.821,-0.197160314,1.007363996,59.50254685,1.0054124,6.910722418
11.822,-0.244224978,1.007140338,59.49730964,1.006745291,6.953886872
11.823,-0.184602832,1.007102562,59.49463567,1.004506506,6.96866067
11.824,-0.27215038,1.007293464,59.49229773,1.005710648,6.915908327
